id,character,series,word,count
277,Sheldon,,nicotine,1
278,Sheldon,,pringles,1
279,Sheldon,,pops,1
280,Sheldon,,stop,1
281,Sheldon,,want,1
282,Sheldon,,bet,1
283,Sheldon,,great,1
284,Sheldon,,addicted,1
285,Sheldon,,gambling,1
286,Sheldon,,sorry,1
287,Sheldon,,yes,1
288,Sheldon,,course,1
289,Sheldon,,please,1
290,Sheldon,,bear,1
291,Sheldon,,display,1
292,Sheldon,,symptoms,1
293,Sheldon,,caffeine,1
294,Sheldon,,withdrawal,1
295,Sheldon,,guys,1
296,Sheldon,,stink,1
297,Sheldon,,really,1
298,Sheldon,,caffeine,1
299,Sheldon,,front,1
300,Sheldon,,trying,1
301,Sheldon,,life,1
302,Sheldon,,back,1
303,Sheldon,,track,1
304,Sheldon,,thought,1
305,Sheldon,,problem,1
306,Sheldon,,leonard,1
307,Sheldon,,ask,1
308,Sheldon,,question,1
309,Sheldon,,howard,1
310,Sheldon,,ask,1
311,Sheldon,,question,1
312,Sheldon,,find,2
313,Sheldon,,caffeine,2
314,Sheldon,,right,1
315,Sheldon,,toss,1
316,Sheldon,,room,1
317,Sheldon,,thinking,1
318,Sheldon,,best,1
319,Sheldon,,way,1
320,Sheldon,,fight,1
321,Sheldon,,addiction,1
322,Sheldon,,weaning,1
323,Sheldon,,steps,1
324,Sheldon,,patch,1
325,Sheldon,,claims,1
326,Sheldon,,suppository,1
327,Sheldon,,shove,1
328,Sheldon,,come,1
329,Sheldon,,applicator,1
330,Sheldon,,figure,1
331,Sheldon,,math,1
332,Sheldon,,racking,1
333,Sheldon,,brain,1
334,Sheldon,,days,1
335,Sheldon,,nothing,1
336,Sheldon,,smart,1
337,Sheldon,,think,1
338,Sheldon,,sorry,1
339,Sheldon,,fault,1
340,Sheldon,,said,1
341,Sheldon,,start,1
342,Sheldon,,end,1
343,Sheldon,,computations,1
344,Sheldon,,required,1
345,Sheldon,,overcome,1
346,Sheldon,,deployability,1
347,Sheldon,,issues,1
348,Sheldon,,significant,1
349,Sheldon,,thought,1
350,Sheldon,,really,1
351,Sheldon,,appreciate,1
