id,character,season,rank,word,count,uniqueness_score
269,Howard,5.0,9,right,32,4.394849785407725
270,Howard,5.0,10,astronaut,7,4.083333333333334
271,Bernadette,5.0,1,howie,16,16.0
272,Bernadette,5.0,2,howard,24,5.702970297029703
273,Bernadette,5.0,3,mother,13,3.313725490196078
274,Bernadette,5.0,4,pew,5,3.125
275,Bernadette,5.0,5,know,30,2.9801324503311255
276,Bernadette,5.0,6,married,9,2.454545454545454
277,Bernadette,5.0,7,god,10,2.4390243902439024
278,Bernadette,5.0,8,cute,5,2.2727272727272725
279,Bernadette,5.0,9,heart,6,2.25
280,Bernadette,5.0,10,pet,3,2.25
281,Leonard,5.0,1,sheldon,67,23.626315789473683
282,Leonard,5.0,2,good,45,12.98076923076923
283,Leonard,5.0,3,think,41,11.513698630136986
284,Leonard,5.0,4,know,58,11.13907284768212
285,Leonard,5.0,5,right,48,9.888412017167383
286,Leonard,5.0,6,want,39,9.388888888888888
287,Leonard,5.0,7,sorry,30,8.411214953271028
288,Leonard,5.0,8,see,33,8.31297709923664
289,Leonard,5.0,9,go,39,7.720812182741117
290,Leonard,5.0,10,jimmy,9,7.363636363636364
291,Raj,5.0,1,dude,10,8.333333333333334
292,Raj,5.0,2,siri,8,7.111111111111111
293,Raj,5.0,3,brown,5,3.5714285714285716
294,Raj,5.0,4,dynamite,4,3.2
295,Raj,5.0,5,gay,4,3.2
296,Raj,5.0,6,chocolate,3,3.0
297,Raj,5.0,7,shows,3,3.0
298,Raj,5.0,8,servants,3,3.0
299,Raj,5.0,9,howard,17,2.8613861386138617
300,Raj,5.0,10,choose,4,2.6666666666666665
301,Sheldon,6.0,1,knock,109,105.14159292035397
302,Sheldon,6.0,2,leonard,69,35.796992481203006
303,Sheldon,6.0,3,know,98,26.168937329700274
304,Sheldon,6.0,4,amy,48,23.272727272727273
305,Sheldon,6.0,5,yes,41,18.0752688172043
306,Sheldon,6.0,6,penny,38,16.988235294117647
307,Sheldon,6.0,7,one,55,16.805555555555557
308,Sheldon,6.0,8,see,39,14.214953271028037
309,Sheldon,6.0,9,wil,18,14.08695652173913
310,Sheldon,6.0,10,play,26,13.52
311,Penny,6.0,1,know,55,8.2425068119891
312,Penny,6.0,2,sweetie,8,7.111111111111111
313,Penny,6.0,3,really,31,6.673611111111112
314,Penny,6.0,4,want,34,6.386740331491713
315,Penny,6.0,5,wow,12,5.76
316,Penny,6.0,6,work,19,5.73015873015873
317,Penny,6.0,7,leonard,27,5.481203007518797
318,Penny,6.0,8,right,32,5.417989417989418
319,Penny,6.0,9,class,7,4.083333333333334
320,Penny,6.0,10,look,21,4.045871559633028
321,Amy,6.0,1,sheldon,65,19.742990654205606
322,Amy,6.0,2,brain,10,6.666666666666666
323,Amy,6.0,3,seriously,5,4.166666666666667
324,Amy,6.0,4,go,25,3.3602150537634405
325,Amy,6.0,5,cause,9,3.1153846153846154
326,Amy,6.0,6,raggedy,3,3.0
327,Amy,6.0,7,tumour,3,3.0
328,Amy,6.0,8,cut,6,2.571428571428571
329,Amy,6.0,9,rajesh,4,2.2857142857142856
330,Amy,6.0,10,qualified,3,2.25
331,Howard,6.0,1,bernie,15,15.0
332,Howard,6.0,2,space,31,14.343283582089553
333,Howard,6.0,3,label,8,8.0
334,Howard,6.0,4,know,53,7.653950953678474
335,Howard,6.0,5,bernadette,15,7.03125
336,Howard,6.0,6,go,36,6.967741935483871
337,Howard,6.0,7,wife,7,6.125
338,Howard,6.0,8,really,28,5.444444444444445
339,Howard,6.0,9,back,22,5.377777777777777
340,Howard,6.0,10,home,14,4.8999999999999995
341,Bernadette,6.0,1,howie,16,14.222222222222221
342,Bernadette,6.0,2,husband,6,4.5
343,Bernadette,6.0,3,married,8,3.5555555555555554
344,Bernadette,6.0,4,benadryl,3,3.0
345,Bernadette,6.0,5,smurf,3,3.0
346,Bernadette,6.0,6,plenty,3,2.25
347,Bernadette,6.0,7,howard,13,2.1948051948051948
348,Bernadette,6.0,8,maybe,13,2.1392405063291138
349,Bernadette,6.0,9,little,15,2.102803738317757
350,Bernadette,6.0,10,mister,2,2.0
351,Leonard,6.0,1,sheldon,54,13.626168224299064
352,Leonard,6.0,2,know,65,11.512261580381471
353,Leonard,6.0,3,great,28,8.43010752688172
354,Leonard,6.0,4,want,35,6.767955801104972
355,Leonard,6.0,5,penny,22,5.694117647058824
356,Leonard,6.0,6,cool,13,5.28125
357,Leonard,6.0,7,right,31,5.084656084656085
358,Leonard,6.0,8,us,19,5.084507042253521
359,Leonard,6.0,9,ho,5,5.0
360,Leonard,6.0,10,good,25,4.9603174603174605
361,Raj,6.0,1,oontz,24,24.0
362,Raj,6.0,2,lucy,11,9.307692307692308
363,Raj,6.0,3,party,17,6.282608695652174
364,Raj,6.0,4,know,47,6.019073569482289
365,Raj,6.0,5,number,9,5.3999999999999995
366,Raj,6.0,6,eat,11,5.260869565217392
367,Raj,6.0,7,date,9,5.0625
368,Raj,6.0,8,bottle,5,5.0
369,Raj,6.0,9,stuart,9,4.764705882352941
370,Raj,6.0,10,come,25,4.6992481203007515
371,Sheldon,7.0,1,knock,72,60.98823529411764
372,Sheldon,7.0,2,leonard,57,30.36448598130841
373,Sheldon,7.0,3,amy,43,25.328767123287673
374,Sheldon,7.0,4,one,73,24.333333333333332
375,Sheldon,7.0,5,say,56,21.47945205479452
