id,character,season,word,count
778,Howard,2,sheldon,29
779,Howard,2,leonard,24
780,Howard,2,let,24
781,Howard,2,come,19
782,Howard,2,look,19
783,Howard,2,little,19
784,Howard,2,raj,19
785,Howard,2,right,18
786,Howard,2,want,18
787,Howard,2,take,18
788,Howard,2,penny,17
789,Howard,2,say,17
790,Howard,3,right,39
791,Howard,3,know,37
792,Howard,3,want,26
793,Howard,3,go,25
794,Howard,3,bernadette,25
795,Howard,3,sheldon,24
796,Howard,3,come,22
797,Howard,3,leonard,20
798,Howard,3,let,19
799,Howard,3,one,19
800,Howard,3,look,18
801,Howard,3,tell,18
802,Howard,3,little,17
803,Howard,3,say,16
804,Howard,3,see,16
805,Howard,4,know,36
806,Howard,4,go,32
807,Howard,4,raj,25
808,Howard,4,see,24
809,Howard,4,sheldon,22
810,Howard,4,think,22
811,Howard,4,one,20
812,Howard,4,right,19
813,Howard,4,bernadette,19
814,Howard,4,mother,17
815,Howard,4,let,16
816,Howard,4,really,15
817,Howard,4,time,15
818,Howard,4,mean,15
819,Howard,4,us,14
820,Howard,5,go,33
821,Howard,5,right,32
822,Howard,5,know,31
823,Howard,5,want,27
824,Howard,5,really,26
825,Howard,5,one,23
826,Howard,5,bernadette,20
827,Howard,5,back,19
828,Howard,5,see,19
829,Howard,5,sheldon,19
830,Howard,5,come,19
831,Howard,5,let,17
832,Howard,5,good,17
833,Howard,5,space,17
834,Howard,5,little,16
835,Howard,6,know,53
836,Howard,6,go,36
837,Howard,6,space,31
838,Howard,6,really,28
839,Howard,6,right,26
840,Howard,6,come,25
841,Howard,6,one,25
842,Howard,6,sheldon,23
843,Howard,6,back,22
844,Howard,6,little,22
845,Howard,6,want,20
846,Howard,6,think,19
847,Howard,6,tell,18
848,Howard,6,guys,18
849,Howard,6,great,17
850,Howard,7,know,44
851,Howard,7,go,30
852,Howard,7,want,25
853,Howard,7,really,18
854,Howard,7,mom,18
855,Howard,7,bernadette,17
856,Howard,7,sheldon,17
857,Howard,7,little,17
858,Howard,7,one,16
859,Howard,7,think,16
860,Howard,7,time,16
861,Howard,7,look,15
862,Howard,7,say,15
863,Howard,7,sorry,16
864,Howard,7,without,15
865,Howard,8,know,43
866,Howard,8,one,33
867,Howard,8,right,30
868,Howard,8,mother,20
869,Howard,8,think,20
870,Howard,8,want,19
871,Howard,8,say,18
872,Howard,8,go,18
873,Howard,8,let,15
874,Howard,8,take,14
875,Howard,8,time,14
876,Howard,8,good,14
877,Howard,8,us,13
878,Howard,8,mean,13
879,Howard,8,come,13
880,Howard,9,know,46
881,Howard,9,really,26
882,Howard,9,think,24
883,Howard,9,want,24
884,Howard,9,right,23
885,Howard,9,make,21
886,Howard,9,go,19
887,Howard,9,let,17
888,Howard,9,one,16
889,Howard,9,us,16
890,Howard,9,say,15
891,Howard,9,look,15
892,Howard,9,mean,14
893,Howard,9,wait,13
894,Howard,9,way,13
895,Howard,10,know,43
896,Howard,10,right,28
897,Howard,10,want,24
898,Howard,10,go,24
899,Howard,10,maybe,23
900,Howard,10,us,22
901,Howard,10,great,18
902,Howard,10,one,17
903,Howard,10,baby,17
904,Howard,10,make,15
905,Howard,10,look,15
906,Howard,10,say,14
907,Howard,10,think,14
908,Howard,10,sheldon,14
909,Howard,10,see,14
978,Bernadette,3,howard,9
979,Bernadette,3,leonard,9
980,Bernadette,3,know,7
981,Bernadette,3,really,5
982,Bernadette,3,think,5
983,Bernadette,3,experiment,5
984,Bernadette,3,mother,4
985,Bernadette,3,see,4
986,Bernadette,3,go,4
987,Bernadette,3,microbiology,3
988,Bernadette,3,day,5
989,Bernadette,3,work,3
990,Bernadette,3,love,3
991,Bernadette,3,need,4
992,Bernadette,3,says,3
993,Bernadette,4,howard,23
994,Bernadette,4,know,16
995,Bernadette,4,really,12
996,Bernadette,4,right,12
997,Bernadette,4,leonard,11
998,Bernadette,4,go,10
999,Bernadette,4,one,10
1000,Bernadette,4,want,9
1001,Bernadette,4,time,8
1002,Bernadette,4,penny,8
1003,Bernadette,4,take,7
1004,Bernadette,4,think,7
1005,Bernadette,4,let,7
1006,Bernadette,4,mean,6
1007,Bernadette,4,never,7
1008,Bernadette,5,know,30
1009,Bernadette,5,howard,24
1010,Bernadette,5,want,17
1011,Bernadette,5,howie,16
1012,Bernadette,5,mother,13
1013,Bernadette,5,think,13
1014,Bernadette,5,penny,13
1015,Bernadette,5,come,11
1016,Bernadette,5,little,11
1017,Bernadette,5,go,11
1018,Bernadette,5,right,10
1019,Bernadette,5,god,11
1020,Bernadette,5,really,10
1021,Bernadette,5,one,10
1022,Bernadette,5,love,10
1023,Bernadette,6,know,22
1024,Bernadette,6,think,17
1025,Bernadette,6,howie,16
1026,Bernadette,6,go,16
1027,Bernadette,6,sheldon,15
1028,Bernadette,6,little,15
1029,Bernadette,6,howard,13
1030,Bernadette,6,maybe,13
1031,Bernadette,6,let,12
1032,Bernadette,6,good,11
1033,Bernadette,6,back,11
1034,Bernadette,6,one,10
1035,Bernadette,6,make,10
1036,Bernadette,6,talk,9
1037,Bernadette,6,tell,9
1038,Bernadette,7,go,33
1039,Bernadette,7,howie,21
1040,Bernadette,7,know,19
1041,Bernadette,7,one,18
1042,Bernadette,7,think,18
1043,Bernadette,7,want,16
1044,Bernadette,7,time,14
1045,Bernadette,7,right,13
1046,Bernadette,7,come,13
1047,Bernadette,7,still,12
1048,Bernadette,7,never,13
1049,Bernadette,7,say,11
1050,Bernadette,7,take,11
1051,Bernadette,7,sorry,10
1052,Bernadette,7,great,11
1053,Bernadette,8,know,25
1054,Bernadette,8,want,21
1055,Bernadette,8,right,19
1056,Bernadette,8,go,17
1057,Bernadette,8,maybe,17
1058,Bernadette,8,howie,17
1059,Bernadette,8,think,15
1060,Bernadette,8,let,11
1061,Bernadette,8,cause,10
1062,Bernadette,8,come,10
1063,Bernadette,8,sure,10
1064,Bernadette,8,sorry,10
1065,Bernadette,8,one,10
1066,Bernadette,8,raj,10
1067,Bernadette,8,say,9
1068,Bernadette,9,know,26
1069,Bernadette,9,sheldon,20
1070,Bernadette,9,think,18
1071,Bernadette,9,one,16
1072,Bernadette,9,want,16
1073,Bernadette,9,little,16
1074,Bernadette,9,howie,15
1075,Bernadette,9,go,15
1076,Bernadette,9,sure,14
