season,episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
10,10.0,47,44,25,15,23,21,17
10,11.0,38,17,26,28,18,29,45
10,12.0,49,30,37,24,29,8,35
10,13.0,44,51,39,18,6,15,23
10,14.0,56,40,30,35,10,45,22
10,15.0,34,38,21,30,24,21,27
10,16.0,48,21,19,16,10,37,39
10,17.0,42,41,39,32,25,28,26
10,18.0,46,29,29,22,12,40,29
10,19.0,45,33,25,10,9,28,38
10,20.0,59,20,19,36,30,17,22
10,21.0,40,22,14,28,20,18,21
10,22.0,44,40,42,31,22,15,25
10,23.0,53,24,25,24,26,17,53
10,24.0,55,23,32,14,16,25,28
